empresa;nome;endereco;bairro;cidade;estado;cep;latitude;longitude;data_extracao
petz;petz nordestina;av. nordestina, 2740;cidade nova sao miguel;sao paulo;SP;08042-117;;;08/10/2025
petz;petz norte sul plaza;av. presidente ernesto geisel, 2300                                              - shopping norte sul plaza;jardim joquei club;campo grande;MS;79080-105;;;08/10/2025
petz;petz nossa senhora do carmo;av. nossa senhora do carmo, 1448;sao pedro;belo horizonte;MG;30330-000;;;08/10/2025
petz;petz nova iguacu;av. abilio augusto tavora, 292;jardim alvorada;nova iguacu;RJ;26265-090;;;08/10/2025
petz;petz novo hamburgo;rua castro alves, 205;rio branco;novo hamburgo;RS;93310-270;;;08/10/2025
petz;petz olinda;r. carmelita muniz de araujo, 225;casa caiada;olinda;PE;53130-645;;;08/10/2025
petz;petz osasco;av. dos autonomistas, 1473                                              - parte a;vila yara;osasco;SP;06090-010;;;08/10/2025
petz;petz pacaembu;praca charles miller, 117;pacaembu;sao paulo;SP;01234-010;;;08/10/2025
petz;petz palmas;q. 101 sul avenida lo 3, s/n;plano diretor sul;palmas;TO;77015-002;;;08/10/2025
petz;petz pampulha;av. professor magalhaes penido, 1000;liberdade;belo horizonte;MG;31270-652;;;08/10/2025
petz;petz pao de acucar jabaquara;av. eng. armando de arruda pereira, 1900;jardim oriental;sao paulo;SP;04308-001;;;08/10/2025
petz;petz parada de taipas;av. raimundo pereira de magalhaes, 12219;parada de taipas;sao paulo;SP;02989-095;;;08/10/2025
petz;petz parkshopping brasilia;parkshopping brasilia,                                                - smas trecho 1;guara;brasilia;DF;71219-900;;;08/10/2025
petz;petz parnamirim;av. dezessete de agosto, 295;parnamirim;recife;PE;52060-590;;;08/10/2025
petz;petz parque flamboyant;av. deputado jamel cecilio, 2697                                              - quadra b16, lotes 17/19;jardim goias;goiania;GO;74810-100;;;08/10/2025
petz;petz parque shopping bahia;avenida santos dumont, 4360;centro;lauro de freitas;BA;42702-400;;;08/10/2025
petz;petz parque shopping maceio;av. comendador gustavo paiva, 5945;cruz das almas;maceio;AL;57038-000;;;08/10/2025
petz;petz passeio das aguas;av. perimetral norte, 8303                                              - fazenda das caveiras;passeio das aguas;goiania;GO;74445-360;;;08/10/2025
petz;petz pelotas;avenida ferreira viana, 1511;areal;pelotas;RS;96085-000;;;08/10/2025
petz;petz pereira barreto;rua thales dos santos freire, 36                                              - quadra 8b lot 26,27,28,29 e 30;baeta neves;sao bernardo do campo;SP;09751-020;;;08/10/2025
petz;petz pindamonhangaba;av. dr. jorge tibirica, 593;chacara galega;pindamonhangaba;SP;12422-050;;;08/10/2025
petz;petz piracicaba;av. centenario, 780;sao dimas;piracicaba;SP;13416-000;;;08/10/2025
petz;petz pituba;av. manoel dias da silva, 1251;pituba;salvador;BA;41830-001;;;08/10/2025
petz;petz plaza avenida shopping;av. jose munia, 4775                                              - shopping plaza avenida, piso t;redentor;sao jose do rio preto;SP;15085-350;;;08/10/2025
petz;petz pocos de caldas;av. joao pinheiro, 711;centro;pocos de caldas;MG;37701-387;;;08/10/2025
petz;petz pompeia;av. francisco matarazzo, 2000                                              - complexo sp mega stores;agua branca;sao paulo;SP;05001-200;;;08/10/2025
petz;petz ponta verde;r. prof. sandoval arroxelas, 1078;ponta verde;maceio;AL;57035-230;;;08/10/2025
petz;petz porto velho shopping;av. pref. chiquilito erse, 3288;flodoaldo pontes pinto;porto velho;RO;76820-408;;;08/10/2025
petz;petz praia grande;av. presidente kennedy, 2900;guilhermina;praia grande;SP;11600-000;;;08/10/2025
petz;petz presidente kennedy;av. sgt. herminio sampaio, 2965                                              - ao lado do assai atacadista;pres. kennedy;fortaleza;CE;60355-503;;;08/10/2025
petz;petz presidente prudente;av. manoel goulart, 2671;centro educacional;presidente prudente;SP;19010-000;;;08/10/2025
petz;petz protasio alves;av. protasio alves, 4194                                              - loja 2;petropolis;porto alegre;RS;91310-000;;;08/10/2025
petz;petz radial leste;av. alcantara machado , 3300;bras;sao paulo;SP;03102-007;;;08/10/2025
petz;petz raja gabaglia;avenida raja gabaglia, 3230;estoril belo horizonte;belo horizonte;MG;30360-670;;;08/10/2025
petz;petz ribeirao independencia;avenida independencia , 1810;jardim sumare;ribeirao preto;SP;14025-393;;;08/10/2025
petz;petz ribeirao presidente vargas;av. pres. vargas, 2265;jardim santa angela;ribeirao preto;SP;14020-525;;;08/10/2025
petz;petz ricardo jafet;av. dr. ricardo jafet, 1750;vila mariana;sao paulo;SP;04260-000;;;08/10/2025
petz;petz rio claro;avenida presidente kennedy, 414;estadio;rio claro;SP;13501-270;;;08/10/2025
petz;petz rio grande;avenida presidente vargas, 794;vila juncao;rio grande;RS;96202-188;;;08/10/2025
petz;petz riomar;av. republica do libano, 251                                              - shopping riomar recife;pina;recife;PE;51110-131;;;08/10/2025
petz;petz rio verde;av. pres. vargas q 37, 27;jardim pres.;rio verde;GO;75908-420;;;08/10/2025
petz;petz rita maria;rua henrique valgas, 64;centro;florianopolis;SC;88010-220;;;08/10/2025
petz;petz roberto freire;avenida engenheiro roberto freire, 20;capim macio;natal;RN;59078-570;;;08/10/2025
petz;petz ruben bento alves;av. rubem bento alves, 3483;universitario;caxias do sul;RS;95032-440;;;08/10/2025
petz;petz salvador bonoco;av. mario leal ferreira, 500;bonoco;salvador;BA;40285-600;;;08/10/2025
petz;petz salvador paralela;av. luis viana, 2768;imbui;salvador;BA;41720-200;;;08/10/2025
petz;petz samambaia do sul;quadra 302, s/n                                              - conjunto 7;samambaia do sul;brasilia;DF;72300-630;;;08/10/2025
petz;petz santa barbara doeste;av. corifeu de azevedo marques, 1102;colina;santa barbara doeste;SP;13450-088;;;08/10/2025
petz;petz santa cecilia;av. general olimpio da silveira, 68;santa cecilia;sao paulo;SP;01150-000;;;08/10/2025
petz;petz santa maria;av. helvio basso, 1201;duque de caxias;santa maria;RS;97070-805;;;08/10/2025
petz;petz santo andre;av. ramiro colleoni , 355;vila assuncao;santo andre;SP;09040-160;;;08/10/2025
petz;petz santo andre dom pedro;av. dom pedro ii, 933;jardim;santo andre;SP;09080-110;;;08/10/2025
petz;petz santos dumont;avenida santos dumont, 5650;coco;fortaleza;CE;60192-018;;;08/10/2025
petz;petz santos macuco;rua dr. manoel tourinho, 385;macuco;santos;SP;11015-031;;;08/10/2025
petz;petz sao bernardo;av. rotary, 825                                              - junto ao center castilho;centro;sao bernardo do campo;SP;09721-000;;;08/10/2025
petz;petz sao carlos;av. francisco pereira lopes, 1701;parque maria santa monica;sao carlos;SP;13561-250;;;08/10/2025
petz;petz sao jose do rio preto;av. pres. juscelino k. oliveira, 400;jardim maracana;sao jose do rio preto;SP;15092-175;;;08/10/2025
petz;petz sao leopoldo;av. getulio vargas, 1802;fiao;sao leopoldo;RS;93020-566;;;08/10/2025
petz;petz sao luis;av. daniel de la touch, 10240;vila vicente fialho;sao luis;MA;65074-115;;;08/10/2025
petz;petz sao miguel;av. sao miguel, 7988;vila norma;sao paulo;SP;08070-001;;;08/10/2025
petz;petz sao vicente;avenida antonio emmerick, 23;vila cascatinha;sao vicente;SP;11390-001;;;08/10/2025
petz;petz seminario;av. nossa senhora aparecida, 582;seminario;curitiba;PR;80440-000;;;08/10/2025
petz;petz serra;avenida eldes scherrer souza, 1511;parque res. laranjeiras;serra;ES;29165-680;;;08/10/2025
petz;petz sete lagoas;avenida raquel teixeira viana, 983;canaa;sete lagoas;MG;35700-293;;;08/10/2025
petz;petz shopping centervale;av. deputado benedito matarazzo, 9403;jardim oswaldo cruz;sao jose dos campos;SP;12215-900;;;08/10/2025
petz;petz shopping golden square;avenida kennedy, 700;jardim do mar;sao bernardo do campo;SP;09726-252;;;08/10/2025
petz;petz shopping grande rio;r. maria soares sendas, 111;parque barreto;sao joao de meriti;RJ;25575-825;;;08/10/2025
petz;petz shopping grand plaza;av. industrial, 600;centro;santo andre;SP;09080-510;;;08/10/2025
petz;petz shopping itaguacu;r. geroncio thives, 1079;barreiros;sao jose;SC;88117-292;;;08/10/2025
petz;petz shopping jockey plaza;r. konrad adenauer, 370;taruma;curitiba;PR;82821-020;;;08/10/2025
petz;petz shopping maua;av. gov. mario covas junior, 01;centro;maua;SP;09390-040;;;08/10/2025
petz;petz shopping pantanal;av. historiador rubens de mendonca, 3.300;jardim aclimacao;cuiaba;MT;78050-250;;;08/10/2025
petz;petz shopping sul valparaiso;q. 1 valparaiso shopping, s/n;parque esplanada iii;valparaiso de goias;GO;72876-902;;;08/10/2025
petz;petz silva jardim;rua joao negrao, 1028;reboucas;curitiba;PR;82590-300;;;08/10/2025
petz;petz silviano brandao;av. silviano brandao, 2457;sagrada familia;belo horizonte;MG;31015-015;;;08/10/2025
petz;petz sorocaba;av. dom aguirre, 2121;santa rosalia;sorocaba;SP;18035-095;;;08/10/2025
petz;petz sorocaba tauste;avenida general carneiro, 1120                                              - loja 08;vila lucy;sorocaba;SP;18043-003;;;08/10/2025
petz;petz sumare;av. da amizade, 2371;parque euclides miranda;sumare;SP;13175-646;;;08/10/2025
petz;petz suzano;rua sete de setembro, 555;parque suzano;suzano;SP;08673-900;;;08/10/2025
petz;petz taboao da serra;r. do tesouro, 662;taboao da serra;sao paulo;SP;06754-190;;;08/10/2025
petz;petz taguatinga;quadra qs 1, rua 212, s/n                                              - lote 11, 13 e 15;areal (aguas claras);brasilia;DF;71950-550;;;08/10/2025
