empresa;nome;logradouro;bairro;cidade;estado;regiao;cep;populacao;latitude;longitude;renda_domiciliar_per_capita;cidade_cod_ibge;data_extracao
petz;Petz Jundiaí;"Av. Antonio Frederico Ozanan, 3003
                                             - Junto ao Atacadista Roldao";Vila de Vito;Jundiaí;SP;Sudeste;13215-010;460313.0;;;2662.0;3500105.0;08/10/2025
petz;Petz Jundiaí Anhanguera;Av. Dr. Adilson Rodrigues, 77;Jundiaí;Jundiaí;SP;Sudeste;13211-685;460313.0;;;2662.0;3500105.0;08/10/2025
petz;Petz Lauzane Paulista;Avenida Direitos Humanos, 1436;Lauzane Paulista;São Paulo;SP;Sudeste;02475-001;11895578.0;;;2662.0;3500105.0;08/10/2025
petz;Petz Limão;Av. Otaviano Alves de Lima, 1480;Limão;São Paulo;SP;Sudeste;02501-000;11895578.0;;;2662.0;3500105.0;08/10/2025
petz;Petz Linha Verde;Av. Caviúna, 548;Atuba;Curitiba;PR;Sul;82840-123;1829225.0;;;2482.0;4100103.0;08/10/2025
petz;Petz Litoral Plaza;"Av. Ayrton Senna da Silva, 1511
                                             - Loja Ext. V - Litoral Plaza";Tude Bastos;Praia Grande;SP;Sudeste;11726-000;365577.0;;;2662.0;3500105.0;08/10/2025
petz;Petz Londrina Tiradentes;Av. Tiradentes, 1919;Rodocentro;Londrina;PR;Sul;86071-000;577318.0;;;2482.0;4100103.0;08/10/2025
petz;Petz Manuel Gaya;Rua Manuel Gaya, 2000;Vila Mazzei;São Paulo;SP;Sudeste;02313-000;11895578.0;;;2662.0;3500105.0;08/10/2025
petz;Petz Maraponga;Av. Godofredo Maciel, 2560;Mondubim;Fortaleza;CE;Nordeste;60710-684;2574412.0;;;1225.0;2300101.0;08/10/2025
petz;Petz Marechal Tito;"Avenida Marechal Tito,  5699
                                             - Junto ao MercadoCar";Itaim Paulista;São Paulo;SP;Sudeste;08115-100;11895578.0;;;2662.0;3500105.0;08/10/2025
petz;Petz Marginal Tietê 24h;R. Dr. Miguel Paulo Capalbo, 166;Pari;São Paulo;SP;Sudeste;03035-040;11895578.0;;;2662.0;3500105.0;08/10/2025
petz;Petz Maringá;Av. Paraná, 1250;Zona 7;Maringá;PR;Sul;87020-085;425983.0;;;2482.0;4100103.0;08/10/2025
petz;Petz Mateus Leme;Rua Mateus Leme, 1875;Bom Retiro;Curitiba;PR;Sul;80520-174;1829225.0;;;2482.0;4100103.0;08/10/2025
petz;Petz Mauro Ramos;Av. Mauro Ramos, 1586;Centro;Florianópolis;SC;Sul;88020-302;576361.0;;;2601.0;4200051.0;08/10/2025
petz;Petz Miguel Sutil;Av. Miguel Sutil , 10000;Jardim Mariana;Cuiabá;MT;Centro-Oeste;78040-790;682932.0;;;2276.0;5100102.0;08/10/2025
